1496663600436991709 1496663600.44 0.891264 2.25263
1496663616228120987 1496663616.23 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663616307491882 1496663616.31 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663616407897647 1496663616.41 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663616528220192 1496663616.53 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663621412514808 1496663621.41 -0.325199 2.03728 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663621512159293 1496663621.51 -0.323016 2.02996 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663621632374105 1496663621.63 -0.318887 2.02742 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663621712210188 1496663621.71 -0.315399 2.02787 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663621812526871 1496663621.81 -0.308391 2.02733 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663621931524299 1496663621.93 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663622012051341 1496663622.01 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" -0.0871013 2.06132
1496663622112297157 1496663622.11 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" -0.0809277 2.05715
1496663622232978423 1496663622.23 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" -0.0709271 2.05106
1496663622311773934 1496663622.31 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" -0.0548339 2.04672
1496663622408151728 1496663622.41 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" -0.0115541 2.04094
1496663622528355923 1496663622.53 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" 0.0158848 2.03582
1496663622607495408 1496663622.61 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" 0.0185819 2.03014
1496663622711692948 1496663622.71 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" 0.0216848 2.02894
1496663622832579703 1496663622.83 -0.302679 2.027 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" 0.0287275 2.029
1496663622912198053 1496663622.91 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" "1/0" 0.0338876 2.02823
1496663623012624854 1496663623.01 "1/0" "1/0" 0.0437957 2.02711 0.253246 2.06564 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623132585947 1496663623.13 "1/0" "1/0" 0.0437957 2.02711 0.255033 2.06282 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623212462431 1496663623.21 "1/0" "1/0" 0.0437957 2.02711 0.26248 2.05922 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623308573853 1496663623.31 "1/0" "1/0" 0.0437957 2.02711 0.298846 2.05453 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623428858078 1496663623.43 "1/0" "1/0" 0.0437957 2.02711 0.3446 2.05354 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623508908752 1496663623.51 "1/0" "1/0" 0.0437957 2.02711 0.375647 2.05359 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623629503477 1496663623.63 "1/0" "1/0" 0.0437957 2.02711 0.414577 2.05242 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623729220837 1496663623.73 "1/0" "1/0" 0.0437957 2.02711 0.462707 2.05969 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623808749757 1496663623.81 "1/0" "1/0" 0.0437957 2.02711 0.476697 2.06073 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
1496663623929666841 1496663623.93 "1/0" "1/0" 0.0437957 2.02711 0.489815 2.05904 "1/0" "1/0" "1/0" "1/0" "1/0" "1/0"
